CPX-1604	P15646 P25368 P25586 P25635 P32899 P33750 P34247 P35194 P36144 P38333 P38882 P39990 P40055 P40079 P40362 P40546 P42945 P47083 P48234 P53254 P53276 P53914 P53941 Q02354 Q02931 Q04177 Q04217 Q04305 Q04500 Q05022 Q05498 Q05946 Q06078 Q06287 Q06506 Q06512 Q06679 Q08096 Q08492 Q08965 Q12035 Q12136 Q12220 Q12460 Q12499 Q99207 Q99216
CPX-7884	P25569 P40208 P40492 P40547 P53076 P53242 Q12508
CPX-7885	P25569 P40208 P40492 P40547 P53076 Q12508 Q99296
CPX-8127	P25694 P34223
CPX-8171	P36040 Q05778
CPX-8172	Q07951 Q12245
CPX-8559	Q00402 Q06820
CPX-1091	P14284 P38927 P46957 P47110
CPX-3211	P25583 P38236 P40167 P41833 P53185
CPX-784	P40046 P47075 Q02725
CPX-8568	P40046 P43585 P47075
CPX-1792	O13539 P17629 P33441 P53552 P53851
