dataset	taxaID	locus	gene	essentiality
108	83333	djlA	djlA	NE
108	83333	djlB	djlB	NE
108	83333	djlC	djlC	NE
108	83333	dkgA	dkgA	NE
108	83333	dkgB	dkgB	NE
108	83333	dksA	dksA	NE
108	83333	dld	dld	NE
108	83333	dmlA	dmlA	NE
108	83333	dmlR	dmlR	NE
108	83333	dmsA	dmsA	NE
108	83333	dmsB	dmsB	NE
108	83333	dmsC	dmsC	NE
108	83333	dmsD	dmsD	NE
108	83333	dnaA	dnaA	E
108	83333	dnaB	dnaB	E
108	83333	dnaC	dnaC	E
108	83333	dnaE	dnaE	E
108	83333	dnaG	dnaG	E
108	83333	dnaI	dnaI	NE
108	83333	dnaJ	dnaJ	NE
108	83333	dnaK	dnaK	NE
108	83333	dnaN	dnaN	E
108	83333	dnaQ	dnaQ	NE
108	83333	dnaT	dnaT	E
108	83333	dnaX	dnaX	E
108	83333	dosC	dosC	NE
108	83333	dosP	dosP	NE
108	83333	dpiA	dpiA	NE
108	83333	dpiB	dpiB	NE
108	83333	dppA	dppA	NE
108	83333	dppB	dppB	NE
108	83333	dppC	dppC	NE
108	83333	dppD	dppD	NE
108	83333	dppF	dppF	NE
108	83333	dppG	dppG	NE
108	83333	dps	dps	NE
108	83333	dsbA	dsbA	NE
108	83333	dsbB	dsbB	NE
108	83333	dsbC	dsbC	NE
108	83333	dsbD	dsbD	NE
108	83333	dsbE	dsbE	NE
108	83333	dsbG	dsbG	NE
108	83333	dsdA	dsdA	NE
108	83333	dsdC	dsdC	NE
108	83333	dsdX	dsdX	NE
108	83333	dsrA	dsrA	NE
108	83333	dsrB	dsrB	NE
108	83333	dtd	dtd	NE
108	83333	dtpA	dtpA	NE
108	83333	dtpB	dtpB	NE
108	83333	dtpD	dtpD	NE
108	83333	dusA	dusA	NE
108	83333	dusB	dusB	NE
108	83333	dusC	dusC	NE
108	83333	dut	dut	E
108	83333	dvl	dvl	NE
108	83333	dxr	dxr	E
108	83333	dxs	dxs	E
108	83333	eaeH	eaeH	NE
108	83333	eamA	eamA	NE
108	83333	eamB	eamB	NE
108	83333	ebgA	ebgA	NE
108	83333	ebgB	ebgB	NE
108	83333	ebgC	ebgC	NE
108	83333	ebgR	ebgR	NE
108	83333	ecfA	ecfA	NE
108	83333	ecnA	ecnA	NE
108	83333	ecnB	ecnB	NE
108	83333	eco	eco	NE
108	83333	ecpA	ecpA	NE
108	83333	ecpB	ecpB	NE
108	83333	ecpC	ecpC	NE
108	83333	ecpD	ecpD	NE
108	83333	ecpE	ecpE	NE
108	83333	ecpR	ecpR	NE
108	83333	eda	eda	NE
108	83333	edd	edd	NE
108	83333	efeB	efeB	NE
108	83333	efeO	efeO	NE
108	83333	efeU	efeU	NE
108	83333	efp	efp	E
108	83333	elaA	elaA	NE
108	83333	elaB	elaB	NE
108	83333	elaD	elaD	NE
108	83333	elbB	elbB	NE
108	83333	elfA	elfA	NE
108	83333	elfC	elfC	NE
108	83333	elfD	elfD	NE
108	83333	elfG	elfG	NE
108	83333	emrA	emrA	NE
108	83333	emrB	emrB	NE
108	83333	emrD	emrD	NE
108	83333	emrE	emrE	NE
108	83333	emrK	emrK	NE
108	83333	emrY	emrY	NE
108	83333	emtA	emtA	NE
108	83333	endA	endA	NE
108	83333	eno	eno	E
108	83333	entA	entA	NE
108	83333	entB	entB	NE
108	83333	entC	entC	NE
108	83333	entD	entD	NE
108	83333	entE	entE	NE
108	83333	entF	entF	NE
108	83333	entH	entH	NE
108	83333	entS	entS	NE
108	83333	envC	envC	NE
108	83333	envN	envN	NE
108	83333	envP	envP	NE
108	83333	envQ	envQ	NE
108	83333	envR	envR	NE
108	83333	envT	envT	NE
108	83333	envY	envY	NE
108	83333	envZ	envZ	NE
108	83333	epd	epd	NE
108	83333	epmA	epmA	NE
108	83333	epmB	epmB	NE
108	83333	epmC	epmC	NE
108	83333	eptA	eptA	NE
108	83333	eptB	eptB	NE
108	83333	eptC	eptC	NE
108	83333	era	era	E
108	83333	erfK	erfK	NE
108	83333	erpA	erpA	E
108	83333	esp	esp	NE
108	83333	esrE	esrE	NE
108	83333	essD	essD	NE
108	83333	essQ	essQ	NE
108	83333	etk	etk	NE
108	83333	etp	etp	NE
108	83333	eutA	eutA	NE
108	83333	eutB	eutB	NE
108	83333	eutC	eutC	NE
108	83333	eutD	eutD	NE
108	83333	eutE	eutE	NE
108	83333	eutG	eutG	NE
108	83333	eutH	eutH	NE
108	83333	eutJ	eutJ	NE
108	83333	eutK	eutK	NE
108	83333	eutL	eutL	NE
108	83333	eutM	eutM	NE
108	83333	eutN	eutN	NE
108	83333	eutP	eutP	NE
108	83333	eutQ	eutQ	NE
108	83333	eutR	eutR	NE
108	83333	eutS	eutS	NE
108	83333	eutT	eutT	NE
108	83333	evgA	evgA	NE
108	83333	evgS	evgS	NE
108	83333	exbB	exbB	NE
108	83333	exbC	exbC	NE
108	83333	exbD	exbD	NE
108	83333	exoD	exoD	NE
108	83333	exoX	exoX	NE
108	83333	expA	expA	NE
108	83333	exuR	exuR	NE
108	83333	exuT	exuT	NE
108	83333	eyeA	eyeA	NE
108	83333	fabA	fabA	C
108	83333	fabB	fabB	E
108	83333	fabD	fabD	E
108	83333	fabF	fabF	NE
108	83333	fabG	fabG	E
108	83333	fabH	fabH	NE
108	83333	fabI	fabI	E
108	83333	fabR	fabR	NE
